airport_id,airport_seq_id,airport_code,city_name,state,airport_name
12953,1295304,LGA,"New York, NY",NY,LaGuardia Airport
13871,1387102,OMA,"Omaha, NE",NE,Eppley Airfield
13851,1385103,OKC,"Oklahoma City, OK",OK,Will Rogers World Airport
11481,1148102,ECP,"Panama City, FL",FL,Northwest Florida Beaches International Airport
12951,1295106,LFT,"Lafayette, LA",LA,Lafayette Regional Airport
10299,1029906,ANC,"Anchorage, AK",AK,Ted Stevens Anchorage International Airport
15249,1524906,TLH,"Tallahassee, FL",FL,Tallahassee International Airport
15096,1509602,SYR,"Syracuse, NY",NY,Syracuse Hancock International Airport
10257,1025702,ALB,"Albany, NY",NY,Albany International Airport
14574,1457405,ROA,"Roanoke, VA",VA,Roanoke-Blacksburg Regional Airport
12016,1201602,GUM,"Guam, TT",TT,Antonio B. Won Pat International Airport
10279,1027903,AMA,"Amarillo, TX",TX,Rick Husband Amarillo International Airport
14252,1425202,PSC,"Pasco/Kennewick/Richland, WA",WA,Tri-Cities Airport
12129,1212903,HIB,"Hibbing, MN",MN,Range Regional Airport
14709,1470904,SCC,"Deadhorse, AK",AK,Deadhorse Airport
10754,1075405,BRW,"Barrow, AK",AK,Wiley Post–Will Rogers Memorial Airport
10926,1092603,CDV,"Cordova, AK",AK,Merle K. (Mudhole) Smith Airport
11337,1133703,DLH,"Duluth, MN",MN,Duluth International Airport
11997,1199702,GST,"Gustavus, AK",AK,Gustavus Airport
15008,1500802,STC,"St. Cloud, MN",MN,St. Cloud Regional Airport
14716,1471604,SCK,"Stockton, CA",CA,Stockton Metropolitan Airport
11865,1186503,GCC,"Gillette, WY",WY,Gillette–Campbell County Airport
14588,1458805,ROW,"Roswell, NM",NM,Roswell International Air Center
14004,1400404,PAE,"Everett, WA",WA,Paine Field
11630,1163004,FAI,"Fairbanks, AK",AK,Fairbanks International Airport
10558,1055804,BFF,"Scottsbluff, NE",NE,Western Nebraska Regional Airport
15074,1507403,SWO,"Stillwater, OK",OK,Stillwater Regional Airport
14487,1448704,RDD,"Redding, CA",CA,Redding Municipal Airport
12173,1217305,HNL,"Honolulu, HI",HI,Daniel K. Inouye International Airport
14057,1405702,PDX,"Portland, OR",OR,Portland International Airport
11292,1129202,DEN,"Denver, CO",CO,Denver International Airport
12323,1232305,ILM,"Wilmington, NC",NC,Wilmington International Airport
13486,1348602,MSO,"Missoula, MT",MT,Missoula Montana Airport
11146,1114607,CRW,"Charleston/Dunbar, WV",WV,West Virginia International Yeager Airport
14689,1468902,SBA,"Santa Barbara, CA",CA,Santa Barbara Municipal Airport
13256,1325602,MFE,"Mission/McAllen/Edinburg, TX",TX,McAllen International Airport
11003,1100303,CID,"Cedar Rapids/Iowa City, IA",IA,The Eastern Iowa Airport
14489,1448902,RDM,"Bend/Redmond, OR",OR,Redmond Municipal Airport
14633,1463303,RST,"Rochester, MN",MN,Rochester International Airport
13433,1343302,MOT,"Minot, ND",ND,Minot International Airport
11898,1189802,GFK,"Grand Forks, ND",ND,Grand Forks International Airport
13277,1327702,MGM,"Montgomery, AL",AL,Montgomery Regional Airport
15389,1538902,TWF,"Twin Falls, ID",ID,Magic Valley Regional Airport
11308,1130802,DHN,"Dothan, AL",AL,Dothan Regional Airport
14794,1479405,SGU,"St. George, UT",UT,St. George Regional Airport
10141,1014106,ABR,"Aberdeen, SD",SD,Aberdeen Regional Airport
13127,1312702,LWS,"Lewiston, ID",ID,Lewiston–Nez Perce County Airport
10631,1063104,BJI,"Bemidji, MN",MN,Bemidji Regional Airport
12255,1225502,HYS,"Hays, KS",KS,Hays Regional Airport
12094,1209402,HDN,"Hayden, CO",CO,Yampa Valley Airport
11503,1150305,EGE,"Eagle, CO",CO,Eagle County Regional Airport
14828,1482805,SIT,"Sitka, AK",AK,Sitka Rocky Gutierrez Airport
14112,1411206,PIE,"St. Petersburg, FL",FL,St. Pete–Clearwater International Airport
14761,1476106,SFB,"Sanford, FL",FL,Orlando Sanford International Airport
13377,1337703,MLU,"Monroe, LA",LA,Monroe Regional Airport
13459,1345904,MQT,"Marquette, MI",MI,Sawyer International Airport
11146,1114608,CRW,"Charleston/Dunbar, WV",WV,West Virginia International Yeager Airport
16869,1686902,XWA,"Williston, ND",ND,Williston Basin International Airport
10849,1084906,BZN,"Bozeman, MT",MT,Bozeman Yellowstone International Airport
16101,1610102,YKM,"Yakima, WA",WA,Yakima Air Terminal (McAllister Field)
10693,1069303,BNA,"Nashville, TN",TN,Nashville International Airport
13198,1319802,MCI,"Kansas City, MO",MO,Kansas City International Airport
14457,1445703,RAP,"Rapid City, SD",SD,Rapid City Regional Airport
12191,1219104,HOU,"Houston, TX",TX,William P. Hobby Airport
14574,1457407,ROA,"Roanoke, VA",VA,Roanoke-Blacksburg Regional Airport
13502,1350203,MTJ,"Montrose/Delta, CO",CO,Montrose Regional Airport
13029,1302903,LNK,"Lincoln, NE",NE,Lincoln Airport
10728,1072806,BPT,"Beaumont/Port Arthur, TX",TX,Jack Brooks Regional Airport
14633,1463304,RST,"Rochester, MN",MN,Rochester International Airport
12891,1289103,LAW,"Lawton/Fort Sill, OK",OK,Lawton–Fort Sill Regional Airport
14869,1486903,SLC,"Salt Lake City, UT",UT,Salt Lake City International Airport
13342,1334207,MKE,"Milwaukee, WI",WI,Milwaukee Mitchell International Airport
11042,1104205,CLE,"Cleveland, OH",OH,Cleveland Hopkins International Airport
14908,1490803,SNA,"Santa Ana, CA",CA,John Wayne Airport
12758,1275804,KOA,"Kona, HI",HI,Ellison Onizuka Kona International Airport at Keahole
13931,1393102,ORF,"Norfolk, VA",VA,Norfolk International Airport
10792,1079206,BUF,"Buffalo, NY",NY,Buffalo Niagara International Airport
10994,1099402,CHS,"Charleston, SC",SC,Charleston International Airport
11423,1142307,DSM,"Des Moines, IA",IA,Des Moines International Airport
11109,1110902,COS,"Colorado Springs, CO",CO,Colorado Springs Airport
